run,user_id,mean,stddev,count,min,max
Scenario1-16-20250720-17:24:05-736932,0,0.0021489991382382,0.002081102591118,82451.0,5.698e-09,0.020466177547
Scenario1-16-20250720-17:24:05-736932,1,0.0021521235146203,0.0020975862132931,82049.0,9.434e-09,0.023361944708
Scenario1-16-20250720-17:24:05-736932,2,0.0021399979427367,0.0020810369047701,82609.0,2.9076e-08,0.02216771011
Scenario1-16-20250720-17:24:05-736932,3,0.0021316563713033,0.0020626566655555,82338.0,4.5039e-08,0.020109765516
Scenario1-16-20250720-17:24:05-736932,4,0.002150858286319,0.0020497011366494,82846.0,2.0783e-08,0.016566261754
Scenario1-16-20250720-17:24:05-736932,5,0.0021657882007486,0.0020999800307983,82477.0,3.7337e-08,0.01905897309
Scenario1-16-20250720-17:24:05-736932,6,0.002162247906628,0.0021124606865931,82150.0,2.31e-08,0.023995741777
Scenario1-16-20250720-17:24:05-736932,7,0.0021768809602818,0.0021108830744024,82659.0,2.3773e-08,0.017081574873
Scenario1-16-20250720-17:24:05-736932,8,0.0021659740774465,0.0020969125943644,82447.0,2.0118e-08,0.023533896272
Scenario1-16-20250720-17:24:05-736932,9,0.0021728959304384,0.0021432627443417,82498.0,1.8241e-08,0.026794770604
Scenario1-17-20250720-17:24:05-736937,0,0.00217647714299,0.0021121552045406,83087.0,6.5823e-08,0.026522302246
Scenario1-17-20250720-17:24:05-736937,1,0.0021516283740409,0.0020709537066893,82487.0,2.7774e-08,0.023267317095
Scenario1-17-20250720-17:24:05-736937,2,0.0021652721580714,0.0020765420961794,82535.0,3.766e-09,0.018552522461
Scenario1-17-20250720-17:24:05-736937,3,0.0021600539349276,0.0020885190908188,82263.0,4.6249e-08,0.022347251411
Scenario1-17-20250720-17:24:05-736937,4,0.0021639033276652,0.0021234850898283,82674.0,2.4692e-08,0.029740766901
Scenario1-17-20250720-17:24:05-736937,5,0.0021649506101266,0.0020997409951725,82832.0,7.3e-09,0.021776391606
Scenario1-17-20250720-17:24:05-736937,6,0.0021646831940194,0.0020896590565216,82038.0,2.6771e-08,0.021266732701
Scenario1-17-20250720-17:24:05-736937,7,0.002159186627768,0.0021011366110657,82782.0,2.861e-08,0.023776244848
Scenario1-17-20250720-17:24:05-736937,8,0.002152222602207,0.0020480458117515,83207.0,6.74e-09,0.018524170172
Scenario1-17-20250720-17:24:05-736937,9,0.0021724062040383,0.0020808043706192,82456.0,5.05e-09,0.01908345265
Scenario1-18-20250720-17:24:05-736938,0,0.0021815790614518,0.0021160647596106,82498.0,2.9049e-08,0.024301626935
Scenario1-18-20250720-17:24:05-736938,1,0.0021941384264634,0.0021504093053673,82681.0,4.9927e-08,0.020323687525
Scenario1-18-20250720-17:24:05-736938,2,0.0021956070466857,0.002109978590589,82763.0,3.627e-09,0.021156723104
Scenario1-18-20250720-17:24:05-736938,3,0.0022054128328701,0.0021135564162842,82579.0,3.05e-09,0.020714822028
Scenario1-18-20250720-17:24:05-736938,4,0.0022075301045827,0.002189362483672,83134.0,1.806e-08,0.023722100909
Scenario1-18-20250720-17:24:05-736938,5,0.0021628276792133,0.0020739922680623,82219.0,1.5092e-08,0.017179292543
Scenario1-18-20250720-17:24:05-736938,6,0.0021649546249934,0.0020947564132986,82077.0,2.9833e-08,0.023761319472
Scenario1-18-20250720-17:24:05-736938,7,0.0021472922302438,0.0020541946785697,82565.0,4.3859e-08,0.016975682353
Scenario1-18-20250720-17:24:05-736938,8,0.002189256071956,0.0021097172481128,82935.0,2.8095e-08,0.018820306094
Scenario1-18-20250720-17:24:05-736938,9,0.0022142048159657,0.0021464488545094,83479.0,9.1502e-08,0.020880352074
Scenario1-19-20250720-17:24:05-736940,0,0.002171377152976,0.0021245445128485,82362.0,2.1367e-08,0.024078558067
Scenario1-19-20250720-17:24:05-736940,1,0.0021954460655053,0.0021171387748745,82947.0,4.4209e-08,0.019828009495
